#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_TX	Pos	CH	947	2	0.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_TX	Pos	CH	578	1	0.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_TX	Pos	CH	1001	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_TX	Pos	CH	110	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_TX	Pos	CH	1302	2	0.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_TX	Pos	CH	1065	12	1.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_TX	Pos	CH	1188	1	0.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_TX	Pos	CH	59	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_TX	Pos	CH	1169	2	0.2	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_TX	Pos	CH	1353	15	1.1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_TX	Pos	CH	1100	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_TX	Pos	CH	179	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR26_DESCSUPERCOIL_TX	Pos	CH	968	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR27_DESCSUPERCOIL_TX	Pos	CH	588	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR28_DESCSUPERCOIL_TX	Pos	CH	654	0	0	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR29_DESCSUPERCOIL_TX	Pos	CH	1515	4	0.3	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR30_DESCSUPERCOIL_TX	Pos	CH	310	3	1	PEAK
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR31_DESCSUPERCOIL_TX	Pos	CH	55	0	0	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR01_DESCSUPERCOIL_TX_RH1	Pos	CH	1635	2	0.1	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR02_DESCSUPERCOIL_TX_RH1	Pos	CH	885	0	0	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR03_DESCSUPERCOIL_TX_RH1	Pos	CH	1976	3	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR04_DESCSUPERCOIL_TX_RH1	Pos	CH	914	2	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR05_DESCSUPERCOIL_TX_RH1	Pos	CH	917	3	0.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR06_DESCSUPERCOIL_TX_RH1	Pos	CH	1481	1	0.1	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR07_DESCSUPERCOIL_TX_RH1	Pos	CH	1149	2	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR08_DESCSUPERCOIL_TX_RH1	Pos	CH	838	2	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR09_DESCSUPERCOIL_TX_RH1	Pos	CH	1849	3	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_TX_RH1	Pos	CH	813	4	0.5	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_TX_RH1	Pos	CH	769	2	0.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_TX_RH1	Pos	CH	629	2	0.3	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_TX_RH1	Pos	CH	1224	2	0.2	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_TX_RH1	Pos	CH	979	1	0.1	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_TX_RH1	Pos	CH	584	10	1.7	PEAK
PBEH2_BCBC63_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_TX_RH1	Pos	CH	1046	5	0.5	PEAK
