#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_TX	Neg	GH	1534	2	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_TX	Neg	GH	1154	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_TX	Neg	GH	716	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_TX	Neg	GH	1305	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_TX	Neg	GH	553	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_TX	Neg	GH	1623	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_TX	Neg	GH	1362	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_TX	Neg	GH	1460	3	0.2	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_TX	Neg	GH	144	0	0	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_TX	Neg	GH	1472	2	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_TX	Neg	GH	1669	3	0.2	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_TX	Neg	GH	1486	1	0.1	PEAK_TEMP
PBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_TX	Neg	GH	922	1	0.1	PEAK_TEMP
