sample_id	plasmid	strand	call_type	filepath	read_count
30	VR20F_2MED2	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Neg_call_high.bed.tsv	441
30	VR20F_2MED2	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Neg_call_low.bed.tsv	441
30	VR20F_2MED2	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Pos_call_high.bed.tsv	170
30	VR20F_2MED2	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED2_Strand_Pos_call_low.bed.tsv	170
30	VR20F_2MED3	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Neg_call_high.bed.tsv	746
30	VR20F_2MED3	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Neg_call_low.bed.tsv	746
30	VR20F_2MED3	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Pos_call_high.bed.tsv	354
30	VR20F_2MED3	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_2MED3_Strand_Pos_call_low.bed.tsv	354
30	VR20F_3HGH1	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Neg_call_high.bed.tsv	756
30	VR20F_3HGH1	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Neg_call_low.bed.tsv	756
30	VR20F_3HGH1	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Pos_call_high.bed.tsv	292
30	VR20F_3HGH1	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH1_Strand_Pos_call_low.bed.tsv	292
30	VR20F_3HGH2	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH2_Strand_Neg_call_high.bed.tsv	916
30	VR20F_3HGH2	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH2_Strand_Neg_call_low.bed.tsv	916
30	VR20F_3HGH2	Pos	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH2_Strand_Pos_call_high.bed.tsv	428
30	VR20F_3HGH2	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH2_Strand_Pos_call_low.bed.tsv	428
30	VR20F_3HGH3	Neg	high	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH3_Strand_Neg_call_high.bed.tsv	504
30	VR20F_3HGH3	Neg	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH3_Strand_Neg_call_low.bed.tsv	504
30	VR20F_3HGH3	Pos	low	mergedBed/PBEH2-30_Plasmid_VR20F_3HGH3_Strand_Pos_call_low.bed.tsv	160
31	VR20F_1LOW1	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW1_Strand_Neg_call_high.bed.tsv	142
31	VR20F_1LOW1	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW1_Strand_Neg_call_low.bed.tsv	142
31	VR20F_1LOW1	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW1_Strand_Pos_call_high.bed.tsv	112
31	VR20F_1LOW1	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW1_Strand_Pos_call_low.bed.tsv	112
31	VR20F_1LOW2	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW2_Strand_Neg_call_high.bed.tsv	86
31	VR20F_1LOW2	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW2_Strand_Neg_call_low.bed.tsv	86
31	VR20F_1LOW2	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW2_Strand_Pos_call_high.bed.tsv	32
31	VR20F_1LOW2	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW2_Strand_Pos_call_low.bed.tsv	32
31	VR20F_1LOW3	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW3_Strand_Neg_call_high.bed.tsv	88
31	VR20F_1LOW3	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW3_Strand_Neg_call_low.bed.tsv	88
31	VR20F_1LOW3	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW3_Strand_Pos_call_high.bed.tsv	22
31	VR20F_1LOW3	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_1LOW3_Strand_Pos_call_low.bed.tsv	22
31	VR20F_2MED1	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_2MED1_Strand_Neg_call_high.bed.tsv	237
31	VR20F_2MED1	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_2MED1_Strand_Neg_call_low.bed.tsv	237
31	VR20F_2MED1	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_2MED1_Strand_Pos_call_high.bed.tsv	181
31	VR20F_2MED1	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_2MED1_Strand_Pos_call_low.bed.tsv	181
31	VR20F_2MED2	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_2MED2_Strand_Neg_call_high.bed.tsv	127
31	VR20F_2MED2	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_2MED2_Strand_Neg_call_low.bed.tsv	127
31	VR20F_2MED2	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_2MED2_Strand_Pos_call_high.bed.tsv	103
31	VR20F_2MED2	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_2MED2_Strand_Pos_call_low.bed.tsv	103
31	VR20F_2MED3	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_2MED3_Strand_Neg_call_high.bed.tsv	229
31	VR20F_2MED3	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_2MED3_Strand_Neg_call_low.bed.tsv	229
31	VR20F_2MED3	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_2MED3_Strand_Pos_call_high.bed.tsv	164
31	VR20F_2MED3	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_2MED3_Strand_Pos_call_low.bed.tsv	164
31	VR20F_3HGH1	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Neg_call_high.bed.tsv	200
31	VR20F_3HGH1	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Neg_call_low.bed.tsv	200
31	VR20F_3HGH1	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Pos_call_high.bed.tsv	124
31	VR20F_3HGH1	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH1_Strand_Pos_call_low.bed.tsv	124
31	VR20F_3HGH2	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Neg_call_high.bed.tsv	203
31	VR20F_3HGH2	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Neg_call_low.bed.tsv	203
31	VR20F_3HGH2	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Pos_call_high.bed.tsv	149
31	VR20F_3HGH2	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH2_Strand_Pos_call_low.bed.tsv	149
31	VR20F_3HGH3	Neg	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Neg_call_high.bed.tsv	155
31	VR20F_3HGH3	Neg	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Neg_call_low.bed.tsv	155
31	VR20F_3HGH3	Pos	high	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Pos_call_high.bed.tsv	94
31	VR20F_3HGH3	Pos	low	mergedBed/PBEH2-31_Plasmid_VR20F_3HGH3_Strand_Pos_call_low.bed.tsv	94
32	VR20F_1LOW1	Neg	high	mergedBed/PBEH2-32_Plasmid_VR20F_1LOW1_Strand_Neg_call_high.bed.tsv	641
